nct_id,new pubs?,extrapub,extra2pub,exclude:head_to_head,exclude:location,exclude:Primary_endpoint_is_efficacy,exclude:Has a phase 3,exclude:other exlusions,include,indication,symptom,symptom,phase,age,approva_status,pharmafunding,enrollment,notes,notes from screening ,termination_status,terminated_reason,terminationcode,Primary_outcome,More_than_one_dose,Whichdoseisprimary,results_available,positivityofP3,measure,Is_there_a_SMD,diffbaselineexp,diffbaselinecont,Mean_difference,Mean_difference_type,variance_type,lowerCI,upperCI,p_value,Is_there_a_WDAE,withdrawals_in_exparm,Nexp_arm,withdrawals_in_contarm,Ncont_arm,Truebypass,Ambigious,bad_endpoint,Nonpositive,preceeded,notes,notes 2
NCT00211887,,10.1002/ana.23863,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,interferon beta 1-a and glatiramer acetate,Not_symptom_focus,Phase_3,Adult,postapproval,Non_pharma,1008,NIh funded most but drugs given by pharma-check pharma,,Not_terminated,N_A,0,Annualized relapse rate of protocol-defined exacerbations,No,NA-there are two comparators-but they want it be better than the better comparator and it is not- so use GA comparator,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,8,499,6,259,0,1,1,0,0,,
NCT00235495,,10.1016/S1474-4422(13)70223-0,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,Stroke,Albumin,Not_symptom_focus,Phase_3,Adult,postapproval,Non_pharma,841,wish it had wdae,,Terminated,Terminated_for_safety,1,The Number of Participants With Favorable Outcome Defined as National Institute of Health Stroke Scale (NIHSS) Score of 0-1 and/or Modified Rankin Scale (mRS) of 0-1,No,NA,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NA,NULL,NULL,NULL,1,0,0,0,0,,
NCT00235716,,10.1001/jama.2013.282834,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,AD,Vitamin E and Memantine,Not_symptom_focus,Phase_3,Adult,preapproval,Non_pharma,613,NULL,just the combo ,Not_terminated,N_A,0,ADCS-ADL,No,NA,1,Nonpositive,Adas cog,1,6.13,7.78,-1.65,lsmd,95,-3.12,-0.17,0.14,1,1,154,0,152,1,0,0,0,0,,
NCT00340834,,10.1056/NEJMoa0907839,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,Fingolimod,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1292,NULL,,Not_terminated,N_A,0,Êannualized relapse rate,Yes,1.25 mg (higher dose),1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,26,426,9,435,0,0,0,0,1,,
NCT00355134,,10.1016/S1474-4422(14)70049-3,,0,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,Fingolimod (FTY720,Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1083,NULL,,Not_terminated,N_A,0,Aggregate Annualized Relapse Rate (ARR) Estimate up to Month 24,Yes,0.5 mg (switched all patients to this dose during trial bc of safety concerns),1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,22,358,16,355,0,0,0,0,1,,
NCT00420212,,10.1056/NEJMoa1114287,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,dimethyl fumarate (BG-12),Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1234,NULL,,Not_terminated,N_A,0,proportion of patients who had a relapse by 2 years,Yes,thrice is first,1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,36,416,22,408,0,0,0,0,1,,
NCT00449865,,10.1001/jama.2015.120,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,PD,Creatine,Not_symptom_focus,Phase_3,Adult,preapproval,Non_pharma,1741,NULL,,Terminated,Terminated_for_futility,1,"global statistical test (GST)8,9 to analyze 5 measures of Parkinson disease progression.",No,Dont report overall change from baseline,1,Nonpositive,Total UPDRS,,11.3,10.4,-0.9,mean difference,95,-3.1,1.3,NA,,NA,NULL,NULL,NULL,0,0,0,0,1,,
NCT00451451,,10.1056/NEJMoa1206328,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,dimethyl fumarate (BG-12),Not_symptom_focus,Phase_3,Adult,preapproval,pharma,1417,NULL,,Not_terminated,N_A,0,Annualized relapse rate,Yes,took higher (thrice daily),1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,26,345,11,363,0,0,0,0,1,,
NCT00530348,,10.1016/S0140-6736(12)61769-3,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,RMS,Alemtuzumab,Not_symptom_focus,Phase_3,Adult,postapproval,pharma,581,positivity is terrible here,,Not_terminated,N_A,0,e relapse rate and time to 6 month sustained accumulation of disability,No,NA,1,Positive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,1,1,386,5,195,0,0,0,0,1,,
NCT00545662,,10.1001/jama.2012.13256,,,Not_head_to_head,Has_a_US_or_CAD_EU_UK_Australian_research_site,Yes,Phase_3,Include,TBI,Citicoline,Not_symptom_focus,Phase_3,Adult,preapproval,Non_pharma,1213,pharma donated the drugs?,,Terminated,Terminated_for_futility,1,functional status and cognitive performance at 90 day-a global statistic18 of the Network Core Battery,No,NA,1,Nonpositive,NA,,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NA,NULL,NULL,NULL,0,0,0,0,1,,
